SYMBOL
ABB.NS
ACC.NS
ADANIENT.NS
ADANIPORTS.NS
AMBUJACEM.NS
APOLLOHOSP.NS
APOLLOTYRE.NS
ASHOKLEY.NS
ASIANPAINT.NS
AUROPHARMA.NS
AXISBANK.NS
BAJAJ-AUTO.NS
BAJFINANCE.NS
BAJAJFINSV.NS
BALRAMCHIN.NS
BANDHANBNK.NS
BANKBARODA.NS
BATAINDIA.NS
BEL.NS
BERGEPAINT.NS
BHARATFORG.NS
BHARTIARTL.NS
BHEL.NS
BIOCON.NS
BOSCHLTD.NS
BPCL.NS
BRITANNIA.NS
BSOFT.NS
CANBK.NS
CANFINHOME.NS
CHAMBLFERT.NS
CHOLAFIN.NS
CIPLA.NS
COALINDIA.NS
COFORGE.NS
COLPAL.NS
CONCOR.NS
COROMANDEL.NS
CUMMINSIND.NS
DABUR.NS
DALBHARAT.NS
DEEPAKNTR.NS
DELTACORP.NS
DIVISLAB.NS
DLF.NS
DRREDDY.NS
EICHERMOT.NS
ESCORTS.NS
EXIDEIND.NS
FEDERALBNK.NS
GAIL.NS
GLENMARK.NS
GMRINFRA.NS
GNFC.NS
GODREJCP.NS
GRANULES.NS
GRASIM.NS
GUJGASLTD.NS
HAL.NS
HAVELLS.NS
HCLTECH.NS
HDFC.NS
HDFCAMC.NS
HDFCBANK.NS
HDFCLIFE.NS
HEROMOTOCO.NS
HINDALCO.NS
HINDCOPPER.NS
HINDPETRO.NS
HINDUNILVR.NS
HONAUT.NS
IBULHSGFIN.NS
ICICIBANK.NS
ICICIGI.NS
ICICIPRULI.NS
IDEA.NS
IDFC.NS
IDFCFIRSTB.NS
IEX.NS
IGL.NS
INDHOTEL.NS
INDIACEM.NS
INDIAMART.NS
INDIGO.NS
INDUSINDBK.NS
INDUSTOWER.NS
INFY.NS
INTELLECT.NS
IOC.NS
IPCALAB.NS
IRCTC.NS
ITC.NS
JINDALSTEL.NS
JKCEMENT.NS
JSWSTEEL.NS
JUBLFOOD.NS
KOTAKBANK.NS
L&TFH.NS
LALPATHLAB.NS
LAURUSLABS.NS
LICHSGFIN.NS
LT.NS
LTI.NS
LTIM.NS
LUPIN.NS
MANAPPURAM.NS
MARICO.NS
MARUTI.NS
MCDOWELL-N.NS
MCX.NS
METROPOLIS.NS
MFSL.NS
MGL.NS
MINDTREE.NS
MOTHERSON.NS
MPHASIS.NS
MRF.NS
MUTHOOTFIN.NS
NATIONALUM.NS
NAUKRI.NS
NAVINFLUOR.NS
NBCC.NS
NCC.NS
NESTLEIND.NS
NMDC.NS
NTPC.NS
OBEROIRLTY.NS
OFSS.NS
ONGC.NS
PAGEIND.NS
PEL.NS
PERSISTENT.NS
PETRONET.NS
PFC.NS
PIDILITIND.NS
PIIND.NS
PNB.NS
POLYCAB.NS
POWERGRID.NS
PVRINOX.NS
RAMCOCEM.NS
RBLBANK.NS
RECLTD.NS
RELIANCE.NS
SAIL.NS
SBICARD.NS
SBILIFE.NS
SBIN.NS
SHREECEM.NS
SIEMENS.NS
SRF.NS
SRTRANSFIN.NS
SUNPHARMA.NS
SUNTV.NS
SYNGENE.NS
TATACHEM.NS
TATACOMM.NS
TATACONSUM.NS
TATAMOTORS.NS
TATAPOWER.NS
TATASTEEL.NS
TCS.NS
TECHM.NS
TITAN.NS
TORNTPHARM.NS
TORNTPOWER.NS
TRENT.NS
TVSMOTOR.NS
UBL.NS
ULTRACEMCO.NS
UPL.NS
VEDL.NS
VOLTAS.NS
WHIRLPOOL.NS
WIPRO.NS
ZEEL.NS
